Tipo, Raza, Nombre, Color, Peso
Gato,Dorado,Brownie,moteado,29
Perro,Pastor Inglés,Manchas,miel,46
Perro,Calicó,Pulgas,moteado,53
Gato,Persa,Linus,negro,42
Gato,Persa,Negro,moteado,45
Gato,Chihuahua,Motitas,miel,41
Perro,Siames,Brownie,café,18
Gato,Cooker Spaniel,Moana,moteado,20
Perro,Persa,Pulgas,pardo,53
Perro,Siames,Bolita,naranja,6
Perro,Pastor Inglés,Brownie,negro,40
Perro,Dorado,Negro,pardo,24
Gato,Pastor Alemán,Manchas,moteado,36
Perro,Calicó,Motitas,blanco,29
Gato,Maltés,Motitas,moteado,20
Gato,Cooker Spaniel,Manchas,gris,1
Gato,Persa,Bolita,café,24
Gato,Pastor Alemán,Linus,moteado,16
Gato,Calicó,Bolita,negro,20
Gato,Chihuahua,Moana,blanco,23
Perro,Pastor Inglés,Motitas,moteado,42
Perro,Chihuahua,Brownie,café,31
Gato,Pastor Inglés,Bishi,moteado,40
Perro,Cooker Spaniel,Negro,blanco,23
Gato,Maltés,Negro,moteado,14
Gato,Persa,Manchas,café,39
Gato,Maltés,Moana,negro,41
Gato,Chihuahua,Bolita,naranja,7
Gato,Siames,Moana,gris,26
Gato,Pastor Alemán,Moana,miel,44
Perro,Persa,Pulgas,moteado,59
Perro,Dorado,Moana,negro,2
Gato,Dorado,Bolita,café,16
Gato,Maltés,Manchas,naranja,47
Perro,Pastor Inglés,Pulgas,pardo,27
Perro,Persa,Manchas,moteado,7
Perro,Dorado,Bolita,naranja,43
Gato,Cooker Spaniel,Motitas,negro,12
Perro,Maltés,Manchas,miel,43
Perro,Pastor Alemán,Moana,naranja,17
Perro,Calicó,Motitas,moteado,52
Gato,Siames,Negro,blanco,25
Perro,Chihuahua,Negro,naranja,41
Gato,Persa,Negro,blanco,6
Gato,Chihuahua,Bishi,pardo,56
Perro,Siames,Bolita,moteado,51
Perro,Maltés,Negro,café,50
Gato,Pastor Inglés,Pulgas,blanco,59
Perro,Calicó,Motitas,gris,3
Perro,Dorado,Linus,miel,42
Perro,Cooker Spaniel,Motitas,moteado,13
Perro,Maltés,Bishi,pardo,59
Gato,Pastor Alemán,Moana,café,1
Perro,Pastor Alemán,Brownie,naranja,23
Gato,Pastor Inglés,Bolita,blanco,58
Gato,Persa,Brownie,café,6
Perro,Chihuahua,Bolita,pardo,5
Gato,Maltés,Negro,miel,55
Gato,Cooker Spaniel,Bishi,miel,25
Gato,Pastor Inglés,Pulgas,blanco,51
Perro,Calicó,Pulgas,moteado,37
Perro,Chihuahua,Manchas,miel,11
Gato,Pastor Inglés,Manchas,miel,24
Perro,Persa,Bolita,moteado,19
Gato,Chihuahua,Bolita,naranja,39
Gato,Siames,Moana,moteado,3
Gato,Siames,Linus,gris,44
Perro,Siames,Motitas,miel,57
Gato,Maltés,Moana,café,59
Gato,Maltés,Motitas,naranja,46
Gato,Calicó,Moana,café,52
Gato,Cooker Spaniel,Negro,moteado,33
Gato,Dorado,Negro,moteado,17
Perro,Chihuahua,Pulgas,negro,54
Perro,Pastor Inglés,Bishi,blanco,39
Perro,Cooker Spaniel,Pulgas,café,7
Gato,Calicó,Manchas,moteado,30
Perro,Chihuahua,Linus,pardo,1
Perro,Chihuahua,Moana,café,33
Perro,Persa,Bolita,miel,19
Gato,Siames,Pulgas,café,31
Perro,Persa,Bishi,blanco,31
Gato,Calicó,Bishi,pardo,32
Gato,Dorado,Motitas,pardo,21
Perro,Siames,Negro,blanco,41
Gato,Pastor Alemán,Pulgas,blanco,40
Gato,Chihuahua,Brownie,naranja,9
Perro,Siames,Moana,miel,47
Perro,Maltés,Pulgas,naranja,9
Perro,Maltés,Pulgas,pardo,12
Perro,Maltés,Bolita,blanco,48
Perro,Pastor Alemán,Brownie,gris,58
Perro,Persa,Motitas,pardo,21
Perro,Chihuahua,Negro,miel,57
Gato,Pastor Inglés,Manchas,blanco,29
Gato,Chihuahua,Negro,pardo,41
Gato,Pastor Inglés,Motitas,pardo,11
Perro,Chihuahua,Moana,blanco,20
Gato,Siames,Bishi,blanco,46
Gato,Cooker Spaniel,Brownie,gris,12
Perro,Maltés,Linus,blanco,25
Perro,Siames,Linus,moteado,36
Gato,Calicó,Linus,moteado,13
Perro,Chihuahua,Pulgas,naranja,14
Gato,Dorado,Bolita,negro,2
Perro,Calicó,Pulgas,naranja,5
Gato,Maltés,Brownie,pardo,5
Gato,Maltés,Bishi,moteado,47
Gato,Pastor Inglés,Motitas,gris,37
Perro,Dorado,Linus,moteado,12
Perro,Chihuahua,Brownie,gris,31
Perro,Cooker Spaniel,Manchas,moteado,49
Gato,Maltés,Brownie,blanco,1
Gato,Siames,Bishi,café,46
Perro,Persa,Moana,miel,49
Perro,Pastor Alemán,Pulgas,negro,22
Gato,Chihuahua,Manchas,café,27
Perro,Maltés,Manchas,miel,34
Gato,Calicó,Bolita,blanco,28
Perro,Pastor Inglés,Bolita,blanco,46
Gato,Pastor Alemán,Negro,moteado,7
Gato,Chihuahua,Manchas,miel,52
Perro,Maltés,Moana,café,41
Gato,Siames,Brownie,moteado,1
Gato,Chihuahua,Motitas,gris,8
Perro,Dorado,Negro,blanco,54
Perro,Pastor Alemán,Bolita,café,1
Perro,Persa,Brownie,miel,25
Perro,Chihuahua,Moana,gris,21
Gato,Calicó,Negro,miel,56
Perro,Chihuahua,Pulgas,naranja,30
Gato,Chihuahua,Pulgas,negro,17
Perro,Calicó,Motitas,pardo,2
Gato,Maltés,Linus,pardo,33
Gato,Dorado,Moana,negro,49
Perro,Maltés,Brownie,negro,7
Gato,Chihuahua,Bishi,blanco,41
Gato,Chihuahua,Moana,blanco,3
Perro,Pastor Inglés,Bolita,pardo,39
Perro,Calicó,Bolita,blanco,46
Perro,Pastor Inglés,Bishi,negro,36
Gato,Calicó,Brownie,gris,34
Gato,Chihuahua,Pulgas,blanco,14
Gato,Pastor Alemán,Pulgas,miel,3
Gato,Chihuahua,Linus,moteado,19
Gato,Chihuahua,Brownie,gris,54
Gato,Pastor Alemán,Negro,pardo,5
Gato,Pastor Inglés,Bolita,pardo,28
Perro,Pastor Inglés,Manchas,naranja,30
Perro,Pastor Inglés,Linus,naranja,22
Gato,Chihuahua,Negro,café,59
Gato,Dorado,Bolita,negro,22
Perro,Calicó,Motitas,moteado,33
Gato,Cooker Spaniel,Bolita,blanco,11
Perro,Siames,Linus,moteado,21
Perro,Pastor Alemán,Linus,miel,7
Perro,Cooker Spaniel,Bishi,café,56
Perro,Persa,Negro,miel,13
Gato,Persa,Bishi,blanco,32
Gato,Siames,Linus,naranja,48
Perro,Dorado,Negro,pardo,26
Gato,Cooker Spaniel,Brownie,miel,47
Perro,Pastor Alemán,Manchas,miel,20
Gato,Dorado,Moana,blanco,35
Gato,Persa,Motitas,pardo,28
Perro,Pastor Inglés,Linus,gris,51
Perro,Calicó,Bishi,pardo,7
Gato,Chihuahua,Bolita,pardo,19
Gato,Pastor Alemán,Bolita,miel,34
Perro,Persa,Motitas,blanco,11
Gato,Dorado,Brownie,miel,58
Perro,Pastor Inglés,Pulgas,miel,47
Gato,Dorado,Bolita,gris,27
Gato,Pastor Inglés,Moana,naranja,52
Perro,Pastor Alemán,Motitas,blanco,24
Gato,Maltés,Moana,naranja,56
Perro,Pastor Alemán,Manchas,moteado,18
Perro,Maltés,Moana,miel,46
Gato,Cooker Spaniel,Linus,naranja,25
Perro,Chihuahua,Moana,blanco,41
Perro,Pastor Inglés,Motitas,gris,2
Perro,Maltés,Manchas,pardo,29
Gato,Maltés,Motitas,moteado,4
Gato,Cooker Spaniel,Motitas,negro,9
Perro,Siames,Motitas,gris,49
Gato,Siames,Moana,blanco,31
Perro,Siames,Bishi,naranja,30
Gato,Calicó,Manchas,gris,53
Gato,Calicó,Bolita,pardo,37
Perro,Dorado,Manchas,gris,34
Perro,Cooker Spaniel,Bolita,miel,32
Perro,Siames,Moana,café,33
Perro,Dorado,Negro,pardo,7
Gato,Persa,Bishi,negro,36
Perro,Dorado,Pulgas,moteado,49
Gato,Maltés,Motitas,negro,46
Perro,Calicó,Moana,moteado,10
Perro,Cooker Spaniel,Linus,naranja,46
Gato,Pastor Alemán,Manchas,pardo,8
Gato,Persa,Linus,negro,4
Perro,Pastor Alemán,Manchas,miel,41
Perro,Persa,Bishi,moteado,14
Gato,Pastor Inglés,Negro,moteado,59
Perro,Maltés,Brownie,naranja,44
Perro,Calicó,Negro,café,4
Perro,Maltés,Pulgas,blanco,31
Gato,Maltés,Motitas,naranja,40
Perro,Cooker Spaniel,Negro,negro,59
Perro,Siames,Bolita,gris,44
Gato,Cooker Spaniel,Manchas,moteado,7
Perro,Pastor Alemán,Pulgas,gris,47
Gato,Pastor Alemán,Brownie,moteado,4
Gato,Dorado,Brownie,pardo,42
Gato,Pastor Inglés,Brownie,café,3
Gato,Pastor Alemán,Negro,miel,40
Gato,Pastor Alemán,Bolita,moteado,40
Perro,Dorado,Linus,café,28
Perro,Siames,Pulgas,café,44
Gato,Persa,Manchas,gris,23
Perro,Calicó,Moana,naranja,39
Perro,Maltés,Moana,blanco,25
Perro,Cooker Spaniel,Motitas,gris,13
Gato,Pastor Inglés,Manchas,negro,4
Perro,Pastor Alemán,Motitas,miel,24
Gato,Dorado,Pulgas,gris,23
Perro,Cooker Spaniel,Moana,naranja,19
Gato,Dorado,Motitas,café,50
Gato,Pastor Alemán,Negro,gris,48
Perro,Pastor Alemán,Brownie,café,45
Perro,Maltés,Pulgas,naranja,12
Perro,Chihuahua,Manchas,pardo,57
Perro,Dorado,Brownie,gris,50
Perro,Persa,Brownie,naranja,55
Gato,Cooker Spaniel,Motitas,gris,13
Gato,Dorado,Bolita,blanco,28
Perro,Persa,Moana,moteado,45
Perro,Pastor Alemán,Moana,café,21
Perro,Chihuahua,Bishi,blanco,1
Perro,Pastor Inglés,Moana,negro,33
Perro,Pastor Alemán,Moana,negro,37
Gato,Pastor Alemán,Bolita,moteado,28
Gato,Pastor Alemán,Manchas,moteado,31
Perro,Cooker Spaniel,Negro,blanco,29
Gato,Cooker Spaniel,Negro,blanco,1
Gato,Calicó,Linus,pardo,13
Perro,Dorado,Negro,naranja,47
Perro,Siames,Pulgas,blanco,7
Gato,Pastor Alemán,Linus,blanco,3
Gato,Cooker Spaniel,Brownie,negro,22
Gato,Persa,Motitas,naranja,35
Gato,Pastor Inglés,Moana,miel,31
Gato,Dorado,Moana,negro,41
Perro,Pastor Alemán,Bolita,gris,16
Gato,Dorado,Manchas,moteado,60
Perro,Maltés,Moana,naranja,41
Perro,Maltés,Moana,negro,54
Gato,Dorado,Pulgas,moteado,56
Perro,Dorado,Bolita,moteado,42
Perro,Chihuahua,Pulgas,moteado,2
Perro,Dorado,Moana,miel,22
Perro,Chihuahua,Linus,pardo,28
Gato,Pastor Inglés,Brownie,miel,26
Perro,Calicó,Bishi,café,6
Gato,Pastor Inglés,Bishi,moteado,24
Gato,Dorado,Linus,pardo,36
Perro,Pastor Alemán,Moana,blanco,36
Perro,Cooker Spaniel,Bishi,miel,15
Gato,Persa,Linus,moteado,19
Gato,Pastor Inglés,Negro,moteado,9
Perro,Pastor Inglés,Motitas,blanco,56
Perro,Maltés,Linus,negro,3
Gato,Siames,Manchas,café,36
Gato,Persa,Manchas,moteado,25
Perro,Siames,Linus,negro,55
Perro,Calicó,Negro,miel,33
Gato,Calicó,Pulgas,pardo,2
Gato,Calicó,Negro,negro,10
Perro,Dorado,Pulgas,miel,8
Perro,Maltés,Brownie,moteado,7
Perro,Maltés,Bolita,gris,46
Perro,Cooker Spaniel,Motitas,pardo,10
Perro,Calicó,Negro,naranja,26
Perro,Dorado,Negro,gris,28
Gato,Maltés,Brownie,café,46
Perro,Calicó,Brownie,naranja,31
Gato,Chihuahua,Negro,moteado,55
Perro,Calicó,Bolita,negro,47
Perro,Pastor Inglés,Brownie,miel,32
Gato,Chihuahua,Moana,gris,3
Gato,Dorado,Moana,pardo,8
Gato,Maltés,Linus,moteado,13
Gato,Pastor Inglés,Linus,negro,59
Gato,Pastor Inglés,Moana,naranja,23
Gato,Calicó,Pulgas,gris,53
Gato,Cooker Spaniel,Bolita,naranja,9
Gato,Pastor Inglés,Pulgas,pardo,4
Gato,Pastor Alemán,Bolita,blanco,41
Perro,Chihuahua,Motitas,naranja,41
Perro,Persa,Linus,miel,8
Gato,Pastor Alemán,Motitas,pardo,27
Gato,Maltés,Moana,gris,56
Gato,Maltés,Brownie,gris,50
Gato,Chihuahua,Bolita,negro,30
